Date,MAP Global Equity Composite (Net),MSCI ACWI (Gross)
3/31/2001,10000.00,10000.00
4/30/2001,11549.00,10728.33
5/31/2001,11455.45,10608.99
6/30/2001,13067.24,10283.76
7/31/2001,12045.38,10121.74
8/31/2001,11756.29,9656.73
9/30/2001,10431.35,8774.50
10/31/2001,11499.53,8960.86
11/30/2001,12519.53,9512.14
12/31/2001,12920.16,9601.12
1/31/2002,12691.47,9338.10
2/28/2002,11922.37,9269.57
3/31/2002,12957.23,9688.29
4/30/2002,12624.23,9381.39
5/31/2002,12242.98,9394.61
6/30/2002,11137.44,8821.39
7/31/2002,10268.72,8081.64
8/31/2002,10274.88,8102.38
9/30/2002,9262.80,7213.84
10/31/2002,9721.31,7744.98
11/30/2002,10665.25,8168.51
12/31/2002,10249.31,7779.25
1/31/2003,10393.82,7552.00
2/28/2003,10382.39,7419.74
3/31/2003,10397.96,7391.79
4/30/2003,10874.19,8051.88
5/31/2003,11604.93,8520.20
6/30/2003,11853.28,8684.02
7/31/2003,12288.29,8876.70
8/31/2003,12647.11,9087.41
9/30/2003,13082.17,9145.43
10/31/2003,14014.93,9700.31
11/30/2003,14333.07,9848.80
12/31/2003,15283.35,10473.43
1/31/2004,15838.14,10652.88
2/29/2004,16082.05,10849.46
3/31/2004,15686.43,10791.75
4/30/2004,15388.39,10543.77
5/31/2004,15514.57,10632.74
6/30/2004,15941.22,10847.66
7/31/2004,15424.73,10503.79
8/31/2004,15478.71,10571.72
9/30/2004,16062.26,10794.46
10/31/2004,15983.55,11061.08
11/30/2004,16845.07,11668.57
12/31/2004,17343.68,12123.36
1/31/2005,16913.56,11868.76
2/28/2005,17522.45,12285.38
3/31/2005,17357.74,12019.66
4/30/2005,17154.65,11762.65
5/31/2005,17659.00,11991.10
6/30/2005,18347.70,12117.65
7/31/2005,19132.98,12568.83
8/31/2005,19385.54,12670.13
9/30/2005,20040.77,13054.89
10/31/2005,18950.55,12705.60
11/30/2005,19229.12,13174.82
12/31/2005,19546.40,13502.16
1/31/2006,20847.49,14169.77
2/28/2006,20669.55,14154.74
3/31/2006,21398.44,14458.64
4/30/2006,21949.76,14947.40
5/31/2006,21158.78,14370.57
6/30/2006,21183.41,14370.27
7/31/2006,21464.40,14471.86
8/31/2006,21777.01,14854.51
9/30/2006,21778.41,15031.56
10/31/2006,22533.34,15598.17
11/30/2006,23226.56,16046.95
12/31/2006,23650.78,16409.16
1/31/2007,23711.42,16575.99
2/28/2007,23658.41,16495.13
3/31/2007,24544.76,16832.99
4/30/2007,25317.04,17589.27
5/31/2007,25916.15,18128.83
6/30/2007,25974.83,18081.94
7/31/2007,25088.16,17809.91
8/31/2007,24926.70,17768.13
9/30/2007,26194.58,18727.61
10/31/2007,26691.34,19462.25
11/30/2007,25761.52,18609.47
12/31/2007,26128.99,18408.38
1/31/2008,24257.22,16904.83
2/29/2008,24501.35,16960.74
3/31/2008,24400.02,16719.37
4/30/2008,25348.31,17664.42
5/31/2008,26272.62,17960.50
6/30/2008,25462.48,16491.82
7/31/2008,24654.41,16068.59
8/31/2008,24557.38,15729.23
9/30/2008,22540.34,13769.69
10/31/2008,19063.81,11044.55
11/30/2008,18273.89,10326.14
12/31/2008,18757.49,10705.48
1/31/2009,18141.58,9794.10
2/28/2009,17097.79,8841.23
3/31/2009,17676.79,9574.37
4/30/2009,18369.09,10713.30
5/31/2009,19353.02,11793.31
6/30/2009,19621.33,11731.99
7/31/2009,20499.67,12768.73
8/31/2009,21097.53,13230.73
9/30/2009,21776.11,13842.13
10/31/2009,21910.34,13631.12
11/30/2009,22544.96,14197.73
12/31/2009,23033.38,14495.91
1/31/2010,22544.25,13872.19
2/28/2010,22750.85,14054.05
3/31/2010,23596.37,14965.13
4/30/2010,23918.80,14998.20
5/31/2010,22403.88,13589.34
6/30/2010,22396.36,13175.42
7/31/2010,23858.04,14251.83
8/31/2010,23394.34,13759.17
9/30/2010,25405.42,15080.26
10/31/2010,26410.57,15628.53
11/30/2010,25878.77,15287.06
12/31/2010,27122.61,16411.27
1/31/2011,27360.32,16672.48
2/28/2011,28037.88,17164.84
3/31/2011,28292.02,17154.92
4/30/2011,29476.45,17866.42
5/31/2011,29442.97,17499.10
6/30/2011,28841.28,17230.37
7/31/2011,28880.63,16955.33
8/31/2011,27317.15,15723.52
9/30/2011,25166.32,14244.92
10/31/2011,26954.74,15773.72
11/30/2011,26395.82,15310.51
12/31/2011,26540.05,15284.96
1/31/2012,27348.57,16178.01
2/29/2012,28354.02,17000.12
3/31/2012,28905.91,17121.26
4/30/2012,28598.48,16936.40
5/31/2012,26615.58,15433.15
6/30/2012,27759.10,16202.96
7/31/2012,28238.34,16430.20
8/31/2012,29022.35,16795.72
9/30/2012,29860.06,17331.67
10/31/2012,29850.04,17220.75
11/30/2012,29911.66,17449.20
12/31/2012,30652.40,17852.89
1/31/2013,31920.31,18680.41
2/28/2013,31532.93,18686.12
3/31/2013,32140.39,19036.61
4/30/2013,32348.15,19593.30
5/31/2013,32249.95,19572.26
6/30/2013,31597.35,18992.43
7/31/2013,33596.34,19907.72
8/31/2013,33454.03,19501.32
9/30/2013,35286.11,20516.11
10/31/2013,36456.35,21345.14
11/30/2013,36382.14,21656.55
12/31/2013,37093.93,22037.69
1/31/2014,36128.16,21161.18
2/28/2014,37463.61,22194.00
3/31/2014,38346.41,22304.32
4/30/2014,38724.67,22528.56
5/31/2014,39551.99,23027.23
6/30/2014,40416.77,23470.60
7/31/2014,39194.74,23193.16
8/31/2014,40294.71,23714.98
9/30/2014,39197.25,22955.09
10/31/2014,38968.51,23121.92
11/30/2014,39368.49,23518.70
12/31/2014,38599.40,23074.73
1/31/2015,38331.68,22719.13
2/28/2015,39852.08,23994.23
3/31/2015,38439.89,23636.83
4/30/2015,39230.38,24334.20
5/31/2015,39786.05,24321.27
6/30/2015,39064.50,23759.47
7/31/2015,39508.44,23974.39
8/31/2015,36954.78,22340.69
9/30/2015,36546.95,21541.42
10/31/2015,39155.10,23237.65
11/30/2015,38824.80,23056.09
12/31/2015,38163.39,22649.99
1/31/2016,37150.69,21289.23
2/29/2016,36707.27,21154.86
3/31/2016,39275.47,22737.16
4/30/2016,39694.31,23086.15
5/31/2016,39688.93,23134.84
6/30/2016,39612.10,23006.79
7/31/2016,40597.02,24005.35
8/31/2016,41346.62,24097.63
9/30/2016,41159.08,24256.04
10/31/2016,40210.95,23849.95
11/30/2016,40394.48,24042.92
12/31/2016,42004.78,24571.96
1/31/2017,43120.60,25248.89
2/28/2017,43873.67,25968.50
3/31/2017,44587.25,26303.66
4/30/2017,45245.54,26725.68
5/31/2017,46994.93,27339.49
6/30/2017,46791.17,27475.05
7/31/2017,47042.17,28252.98
8/31/2017,47115.76,28375.02
9/30/2017,47806.67,28933.81
10/31/2017,47685.45,29541.30
11/30/2017,47841.10,30126.55
12/31/2017,49135.89,30622.52
1/31/2018,51281.37,32356.62
2/28/2018,49976.99,31009.98
3/31/2018,49730.32,30364.92
4/30/2018,50235.79,30672.12
5/31/2018,49631.16,30736.74
6/30/2018,50850.32,30582.54
7/31/2018,51001.05,31514.67
8/31/2018,51917.24,31776.48
9/30/2018,52154.21,31927.68
10/31/2018,49753.25,29542.20
11/30/2018,50522.65,29988.28
12/31/2018,48040.18,27888.06
1/31/2019,51021.76,30098.89
2/28/2019,52412.83,30917.40
3/31/2019,52636.33,31325.60
4/30/2019,53481.89,32399.90
5/31/2019,51747.17,30504.99
6/30/2019,54855.32,32516.53
7/31/2019,55544.54,32623.24
8/31/2019,54553.86,31863.95
9/30/2019,55037.44,32549.30
10/31/2019,54485.10,33448.36
11/30/2019,54891.79,34279.19
12/31/2019,56937.29,35500.78
1/31/2020,55984.40,35117.37
2/29/2020,51050.17,32293.94
3/31/2020,45080.58,27953.63
4/30/2020,48676.21,30962.47
5/31/2020,51249.24,32327.72
6/30/2020,52015.92,33374.65
7/31/2020,53746.20,35153.52
8/31/2020,55765.13,37318.97
9/30/2020,53878.28,36128.50
10/31/2020,52884.99,35257.80
11/30/2020,58256.22,39615.67
12/31/2020,60596.03,41469.68
