Date,MBXIX,S&P 500 TR Index
1/1/1997,10000.00,10000.00
1/31/1997,10944.91,10624.70
2/28/1997,11535.37,10707.98
3/31/1997,10934.28,10267.99
4/30/1997,10678.78,10880.99
5/31/1997,11323.00,11543.48
6/30/1997,11735.93,12060.68
7/31/1997,13065.43,13020.33
8/31/1997,12144.73,12290.89
9/30/1997,12914.78,12963.96
10/31/1997,12272.93,12531.06
11/30/1997,12336.73,13111.10
12/31/1997,12838.87,13336.28
1/31/1998,13126.27,13483.83
2/28/1998,13320.93,14456.31
3/31/1998,14001.18,15196.63
4/30/1998,13416.33,15349.52
5/31/1998,13626.64,15085.64
6/30/1998,14102.50,15698.43
7/31/1998,13396.54,15531.27
8/31/1998,12737.56,13285.76
9/30/1998,13687.49,14136.87
10/31/1998,14007.38,15286.79
11/30/1998,14412.64,16213.37
12/31/1998,15538.03,17147.65
1/31/1999,15424.60,17864.67
2/28/1999,15561.36,17309.48
3/31/1999,16098.95,18001.95
4/30/1999,17145.77,18699.15
5/31/1999,16485.01,18257.52
6/30/1999,18386.65,19270.77
7/31/1999,17435.24,18669.06
8/31/1999,17186.83,18576.75
9/30/1999,17383.84,18067.46
10/31/1999,15996.16,19210.80
11/30/1999,16892.93,19601.29
12/31/1999,18179.00,20755.72
1/31/2000,18128.49,19712.91
2/29/2000,18249.00,19339.77
3/31/2000,19098.51,21231.75
4/30/2000,17996.46,20592.98
5/31/2000,16709.20,20170.45
6/30/2000,16424.16,20667.73
7/31/2000,16156.25,20344.59
8/31/2000,17439.67,21608.28
9/30/2000,16176.64,20467.50
10/31/2000,16091.57,20380.94
11/30/2000,16279.72,18774.21
12/31/2000,19034.12,18866.11
1/31/2001,20435.39,19535.37
2/28/2001,19528.87,17754.18
3/31/2001,20685.57,16629.43
4/30/2001,20283.56,17921.66
5/31/2001,20500.37,18041.79
6/30/2001,20258.75,17602.63
7/31/2001,19109.14,17429.30
8/31/2001,19193.03,16338.23
9/30/2001,16959.39,15018.89
10/31/2001,18835.92,15305.27
11/30/2001,18702.70,16479.31
12/31/2001,19659.73,16623.68
1/31/2002,20209.13,16381.05
2/28/2002,18469.95,16065.20
3/31/2002,19152.86,16669.37
4/30/2002,18542.31,15658.69
5/31/2002,19746.86,15543.38
6/30/2002,21744.20,14436.18
7/31/2002,21678.92,13310.81
8/31/2002,22030.13,13398.30
9/30/2002,22384.88,11942.09
10/31/2002,21371.44,12993.22
11/30/2002,21792.35,13757.98
12/31/2002,22380.74,12949.79
1/31/2003,22860.14,12610.53
2/28/2003,24090.68,12421.30
3/31/2003,22118.45,12541.94
4/30/2003,23372.32,13575.01
5/31/2003,26433.32,14290.17
6/30/2003,25815.09,14472.53
7/31/2003,27306.75,14727.69
8/31/2003,28641.56,15014.89
9/30/2003,27898.39,14855.43
10/31/2003,27233.50,15695.86
11/30/2003,26981.83,15833.97
12/31/2003,28350.02,16664.34
1/31/2004,28527.84,16970.22
2/29/2004,29959.83,17206.08
3/31/2004,29516.47,16946.50
4/30/2004,27011.08,16680.46
5/31/2004,26382.51,16909.33
6/30/2004,25763.11,17238.22
7/31/2004,24079.46,16667.63
8/31/2004,23335.99,16735.09
9/30/2004,24209.13,16916.32
10/31/2004,26253.73,17174.76
11/30/2004,29246.49,17869.70
12/31/2004,30495.35,18477.77
1/31/2005,28874.61,18027.31
2/28/2005,29168.22,18406.72
3/31/2005,28023.04,18080.81
4/30/2005,25943.29,17737.86
5/31/2005,28104.86,18302.29
6/30/2005,29722.05,18328.27
7/31/2005,30938.12,19009.86
8/31/2005,30923.35,18836.43
9/30/2005,31999.41,18988.91
10/31/2005,31424.01,18672.35
11/30/2005,34325.80,19378.58
12/31/2005,34129.67,19385.36
1/31/2006,36565.94,19898.65
2/28/2006,35949.49,19952.66
3/31/2006,36982.13,20201.05
4/30/2006,38492.39,20472.23
5/31/2006,35512.33,19883.05
6/30/2006,35183.87,19909.95
7/31/2006,32603.16,20032.86
8/31/2006,32519.86,20509.40
9/30/2006,33134.25,21037.99
10/31/2006,35180.92,21723.48
11/30/2006,35694.58,22136.67
12/31/2006,37801.80,22447.17
1/31/2007,39156.11,22786.63
2/28/2007,38124.94,22340.90
3/31/2007,39199.23,22590.82
4/30/2007,42060.85,23591.44
5/31/2007,45219.91,24414.72
6/30/2007,46109.88,24009.14
7/31/2007,42979.18,23264.71
8/31/2007,39439.96,23613.41
9/30/2007,41636.98,24496.56
10/31/2007,45280.76,24886.23
11/30/2007,42322.55,23845.77
12/31/2007,42282.68,23680.36
1/31/2008,42776.84,22259.99
2/29/2008,44617.34,21536.81
3/31/2008,44029.83,21443.89
4/30/2008,44321.08,22488.24
5/31/2008,45147.84,22779.55
6/30/2008,46589.28,20859.12
7/31/2008,45032.34,20683.75
8/31/2008,43434.94,20982.96
9/30/2008,43226.70,19113.26
10/31/2008,44043.72,15903.17
11/30/2008,43489.29,14762.09
12/31/2008,44537.88,14919.19
1/31/2009,42949.34,13661.67
2/28/2009,43238.81,12207.00
3/31/2009,43159.95,13276.31
4/30/2009,44237.48,14546.98
5/31/2009,43761.93,15360.61
6/30/2009,42598.14,15391.11
7/31/2009,43470.68,16555.19
8/31/2009,44280.02,17152.89
9/30/2009,46985.67,17793.00
10/31/2009,45232.31,17462.47
11/30/2009,47432.58,18509.91
12/31/2009,47977.55,18867.44
1/31/2010,45442.33,18188.73
2/28/2010,47352.53,18752.13
3/31/2010,51712.89,19883.77
4/30/2010,53406.00,20197.66
5/31/2010,48595.78,18584.86
6/30/2010,46925.12,17611.97
7/31/2010,48125.83,18845.88
8/31/2010,47924.38,17995.17
9/30/2010,51910.50,19601.09
10/31/2010,53683.65,20346.96
11/30/2010,53324.18,20349.52
12/31/2010,57768.72,21709.52
1/31/2011,57158.17,22224.05
2/28/2011,59117.71,22985.42
3/31/2011,58128.78,22994.56
4/30/2011,62734.01,23675.53
5/31/2011,58726.63,23407.54
6/30/2011,57039.43,23017.35
7/31/2011,58946.98,22549.34
8/31/2011,55351.65,21324.37
9/30/2011,51585.29,19825.34
10/31/2011,54058.48,21992.09
11/30/2011,53523.56,21943.53
12/31/2011,53609.22,22167.98
1/31/2012,54962.93,23161.41
2/29/2012,55459.75,24162.95
3/31/2012,55245.02,24958.11
4/30/2012,55589.43,24801.52
5/31/2012,55106.19,23310.91
6/30/2012,53218.43,24271.38
7/31/2012,54795.45,24608.48
8/31/2012,55413.09,25162.75
9/30/2012,55394.77,25813.02
10/31/2012,54820.85,25336.38
11/30/2012,56531.97,25483.31
12/31/2012,57857.63,25715.58
1/31/2013,59383.84,27047.54
2/28/2013,58634.77,27414.72
3/31/2013,59942.11,28442.86
4/30/2013,62293.90,28990.86
5/31/2013,58917.44,29668.96
6/30/2013,56527.84,29270.56
7/31/2013,57510.86,30760.04
8/31/2013,55237.34,29869.19
9/30/2013,57038.84,30805.83
10/31/2013,58559.15,32221.89
11/30/2013,59899.28,33203.82
12/31/2013,59058.04,34044.46
1/31/2014,55941.81,32867.34
2/28/2014,60088.91,34370.88
3/31/2014,60761.78,34659.72
4/30/2014,61740.66,34915.91
5/31/2014,63508.79,35735.60
6/30/2014,64562.10,36473.77
7/31/2014,63500.52,35970.74
8/31/2014,66497.71,37409.80
9/30/2014,66695.32,36885.20
10/31/2014,68814.36,37786.12
11/30/2014,72060.55,38802.34
12/31/2014,72047.85,38704.59
1/31/2015,72042.83,37542.66
2/28/2015,74198.20,39700.38
3/31/2015,77103.53,39072.49
4/30/2015,73852.02,39447.38
5/31/2015,73020.82,39954.62
6/30/2015,70603.16,39181.13
7/31/2015,74461.97,40002.05
8/31/2015,69752.18,37588.56
9/30/2015,70847.44,36658.49
10/31/2015,72146.80,39750.80
11/30/2015,74238.96,39868.98
12/31/2015,73312.66,39240.17
1/31/2016,73903.41,37292.95
2/29/2016,75971.05,37242.63
3/31/2016,79308.82,39769.07
4/30/2016,77920.54,39923.30
5/31/2016,79220.20,40640.21
6/30/2016,84241.62,40745.56
7/31/2016,87254.47,42247.77
8/31/2016,86250.18,42307.12
9/30/2016,87224.93,42315.02
10/31/2016,83532.71,41543.18
11/30/2016,84714.22,43081.73
12/31/2016,86504.07,43933.26
1/31/2017,87226.45,44766.51
2/28/2017,90928.60,46544.10
3/31/2017,91620.88,46598.32
4/30/2017,93366.61,47076.91
5/31/2017,92794.73,47739.40
6/30/2017,89995.54,48037.38
7/31/2017,91199.49,49025.16
8/31/2017,94510.37,49175.27
9/30/2017,94630.76,50189.65
10/31/2017,97881.44,51360.82
11/30/2017,98242.62,52936.03
12/31/2017,98586.61,53524.59
1/31/2018,98462.25,56589.07
2/28/2018,92430.78,54503.44
3/31/2018,94544.90,53118.29
4/30/2018,95104.52,53322.11
5/31/2018,96659.03,54606.22
6/30/2018,97280.83,54942.29
7/31/2018,96659.03,56986.96
8/31/2018,100327.65,58843.82
9/30/2018,101167.09,59178.77
10/31/2018,97405.19,55133.89
11/30/2018,99674.76,56257.42
12/31/2018,96456.94,51177.94
1/31/2019,99733.20,55279.08
2/28/2019,101788.89,57054.01
3/31/2019,103105.82,58162.65
4/30/2019,105257.87,60517.61
5/31/2019,99187.15,56671.83
6/30/2019,103523.38,60665.88
7/31/2019,104968.79,61537.84
8/31/2019,100504.08,60562.99
9/30/2019,103234.30,61696.17
10/31/2019,103973.00,63032.45
11/30/2019,108117.00,65320.46
12/31/2019,109807.00,67292.02
1/31/2020,108691.00,67265.63
2/29/2020,100102.00,61728.41
3/31/2020,83734.00,54104.12
4/30/2020,90463.00,61039.94
5/31/2020,92391.00,63947.12
6/30/2020,93947.00,65218.91
7/31/2020,98174.00,68896.29
8/31/2020,99087.00,73848.55
9/30/2020,99222.00,71042.51
10/31/2020,95299.00,69153.30
11/30/2020,103686.00,76723.07
12/31/2020,109265.00,79672.96
