Date,S&P 500 Index,Defined Shield,Rolling Floor,Static Floor
3/31/2021,158582.74,132512.90,115948.79,87500.00
3/30/2021,157942.55,132143.44,115948.79,87500.00
3/29/2021,158362.68,132389.75,115948.79,87500.00
3/26/2021,158442.71,132512.90,115948.79,87500.00
3/25/2021,155929.90,130911.91,115733.27,87500.00
3/24/2021,155057.62,130788.76,115733.27,87500.00
3/23/2021,155849.87,131281.37,115733.27,87500.00
3/22/2021,157086.27,131650.83,115733.27,87500.00
3/19/2021,155841.88,131035.06,115733.27,87500.00
3/18/2021,156642.13,131404.52,115733.27,87500.00
3/17/2021,158954.87,132266.60,115733.27,87500.00
3/16/2021,158414.70,132143.44,115517.75,87500.00
3/15/2021,158614.76,132020.29,115517.75,87500.00
3/12/2021,157674.46,131527.68,115517.75,87500.00
3/11/2021,157462.39,131527.68,115517.75,87500.00
3/10/2021,155881.88,130788.76,115517.75,87500.00
3/9/2021,154917.58,130049.84,115517.75,87500.00
3/8/2021,152736.88,129064.61,115517.75,87500.00
3/5/2021,153501.12,129064.61,115517.75,87500.00
3/4/2021,150728.24,128202.54,115517.75,87500.00
3/3/2021,152616.84,129187.76,115517.75,87500.00
3/2/2021,154665.50,130542.45,115517.75,87500.00
3/1/2021,155881.88,131035.06,115517.75,87500.00
2/26/2021,152192.70,129187.76,115517.75,87500.00
2/25/2021,152980.95,129803.53,115517.75,87500.00
2/24/2021,156758.16,131650.83,115517.75,87500.00
2/23/2021,155049.62,130665.60,115517.75,87500.00
2/22/2021,154861.56,130788.76,115517.75,87500.00
2/19/2021,156061.94,131281.37,115517.75,87500.00
2/18/2021,156338.03,131527.68,115517.75,87500.00
2/17/2021,157006.25,131773.98,115517.75,87500.00
2/16/2021,156970.23,131773.98,115517.75,87500.00
2/12/2021,157106.28,132020.29,115517.75,87500.00
2/11/2021,156334.02,131404.52,114978.96,87500.00
2/10/2021,156081.94,131404.52,114978.96,87500.00
2/9/2021,156149.97,131404.52,114978.96,87500.00
2/8/2021,156254.01,131404.52,114978.96,87500.00
2/5/2021,155133.64,130911.91,114440.16,87500.00
2/4/2021,154525.45,130788.76,114440.16,87500.00
2/3/2021,152788.90,130049.84,114009.13,87500.00
2/2/2021,152668.85,129926.68,114009.13,87500.00
2/1/2021,150540.18,128818.31,114009.13,87500.00
1/29/2021,148075.39,127833.08,114009.13,87500.00
1/28/2021,151100.36,129064.61,114009.13,87500.00
1/27/2021,149811.94,128325.69,114009.13,87500.00
1/26/2021,153565.15,130419.30,114009.13,87500.00
1/25/2021,153805.22,130419.30,114009.13,87500.00
1/22/2021,153201.03,130049.84,114009.13,87500.00
1/21/2021,153745.20,130296.14,114009.13,87500.00
1/20/2021,153605.16,130296.14,114009.13,87500.00
1/19/2021,151508.48,129434.07,113578.09,87500.00
1/15/2021,150328.11,128695.15,113578.09,87500.00
1/14/2021,151432.46,129310.92,113578.09,87500.00
1/13/2021,151964.63,129680.38,113578.09,87500.00
1/12/2021,151556.49,129434.07,113578.09,87500.00
1/11/2021,151524.49,129310.92,113578.09,87500.00
1/8/2021,152552.82,129803.53,113578.09,87500.00
1/7/2021,151688.54,129310.92,113147.05,87500.00
1/6/2021,149467.83,128572.00,112500.50,87500.00
1/5/2021,148579.54,128202.54,112500.50,87500.00
1/4/2021,147563.23,127709.93,112500.50,87500.00
12/31/2020,149599.88,128572.00,112500.50,87500.00
12/30/2020,148843.63,128202.54,112284.98,87500.00
12/29/2020,148631.56,128325.69,112284.98,87500.00
12/28/2020,148915.66,128325.69,112284.98,87500.00
12/24/2020,147647.25,127709.93,111853.94,87500.00
12/23/2020,147075.07,127340.47,111853.94,87500.00
12/22/2020,146943.02,127340.47,111853.94,87500.00
12/21/2020,147191.10,127340.47,111853.94,87500.00
12/18/2020,147719.27,127709.93,111853.94,87500.00
12/17/2020,148943.66,127833.08,111853.94,87500.00
12/16/2020,148115.40,127586.77,111659.23,87500.00
12/15/2020,147883.32,127340.47,111659.23,87500.00
12/14/2020,145910.69,126884.79,111659.23,87500.00
12/11/2020,146566.90,127005.75,111659.23,87500.00
12/10/2020,146738.96,127005.75,111659.23,87500.00
12/9/2020,146786.98,126884.79,111659.23,87500.00
12/8/2020,148115.40,127610.55,111659.23,87500.00
12/7/2020,147683.26,127368.63,111447.55,87500.00
12/4/2020,147987.36,127368.63,111447.55,87500.00
12/3/2020,146722.95,127005.75,111130.03,87500.00
12/2/2020,146762.97,126884.79,110918.36,87500.00
12/1/2020,146454.86,126763.84,110918.36,87500.00
11/30/2020,144870.36,126159.06,110389.17,87500.00
11/27/2020,145514.57,126280.01,110389.17,87500.00
11/25/2020,145110.44,126159.06,110389.17,87500.00
11/24/2020,145334.51,126159.06,110389.17,87500.00
11/23/2020,143029.77,125191.39,110177.49,87500.00
11/20/2020,142177.49,124707.56,110177.49,87500.00
11/19/2020,143157.81,125070.43,110177.49,87500.00
11/18/2020,142557.62,124949.47,110177.49,87500.00
11/17/2020,144294.17,125796.17,110177.49,87500.00
11/16/2020,145074.43,125917.13,110177.49,87500.00
11/13/2020,143285.86,125191.39,109754.14,87500.00
11/12/2020,141329.22,124344.69,109754.14,87500.00
11/11/2020,142713.67,124949.47,109754.14,87500.00
11/10/2020,141661.34,124465.64,109754.14,87500.00
11/9/2020,141869.40,124828.51,109754.14,87500.00
11/6/2020,140108.84,123739.88,109754.14,87500.00
11/5/2020,140140.84,123860.84,109754.14,87500.00
11/4/2020,137459.99,122772.23,109754.14,87500.00
11/3/2020,134455.03,121078.82,109754.14,87500.00
11/2/2020,132122.28,120111.16,109754.14,87500.00
10/30/2020,130657.82,119748.28,109754.14,87500.00
10/29/2020,132034.26,120353.07,109754.14,87500.00
10/28/2020,130705.83,120232.11,109754.14,87500.00
10/27/2020,135331.31,121804.57,109754.14,87500.00
10/26/2020,135799.46,122046.49,109754.14,87500.00
10/23/2020,138356.27,123014.15,109754.14,87500.00
10/22/2020,137888.12,122772.23,109754.14,87500.00
10/21/2020,137135.89,122651.28,109754.14,87500.00
10/20/2020,137395.97,122651.28,109754.14,87500.00
10/19/2020,136847.80,122530.32,109754.14,87500.00
10/16/2020,138960.47,123377.01,109754.14,87500.00
10/15/2020,139044.50,123377.01,109754.14,87500.00
10/14/2020,139216.55,123497.97,109754.14,87500.00
10/13/2020,140096.83,123981.82,109754.14,87500.00
10/12/2020,141017.12,124223.74,109754.14,87500.00
10/9/2020,138784.41,123135.11,109754.14,87500.00
10/8/2020,137556.02,122530.32,109754.14,87500.00
10/7/2020,136347.64,122046.49,109754.14,87500.00
10/6/2020,134014.88,121320.73,109754.14,87500.00
10/5/2020,135947.51,121925.53,109754.14,87500.00
10/2/2020,133578.74,121320.73,109754.14,87500.00
10/1/2020,134859.16,121683.62,109754.14,87500.00
9/30/2020,133998.89,121320.73,109754.14,87500.00
9/29/2020,132990.56,120957.86,109754.14,87500.00
9/28/2020,133718.79,121199.79,109754.14,87500.00
9/25/2020,131534.10,120111.16,109754.14,87500.00
9/24/2020,129441.42,119506.38,109754.14,87500.00
9/23/2020,129097.32,119627.33,109754.14,87500.00
9/22/2020,132162.29,120594.99,109754.14,87500.00
9/21/2020,130829.87,119869.24,109754.14,87500.00
9/18/2020,132302.34,120836.90,109754.14,87500.00
9/17/2020,134379.00,121683.62,109754.14,87500.00
9/16/2020,135571.39,122409.36,109754.14,87500.00
9/15/2020,136111.56,122651.28,109754.14,87500.00
9/14/2020,135427.33,122288.39,109754.14,87500.00
9/11/2020,133666.77,121199.79,109754.14,87500.00
9/10/2020,133598.76,121441.70,109754.14,87500.00
9/9/2020,135959.51,122530.32,109754.14,87500.00
9/8/2020,133326.66,121683.62,109754.14,87500.00
9/4/2020,137071.87,123135.11,109754.14,87500.00
9/3/2020,138200.23,124102.78,109754.14,87500.00
9/2/2020,143125.81,125433.30,109754.14,87500.00
9/1/2020,141085.15,124949.47,109330.79,87500.00
8/31/2020,139768.73,124707.56,109119.12,87500.00
8/28/2020,140276.88,124707.56,109119.12,87500.00
8/27/2020,139376.60,124465.64,108801.60,87500.00
8/26/2020,139072.51,124344.69,108801.60,87500.00
8/25/2020,137692.06,123860.84,108272.40,87500.00
8/24/2020,137211.91,123497.97,108272.40,87500.00
8/21/2020,135835.47,123014.15,108272.40,87500.00
8/20/2020,135355.31,122651.28,108272.40,87500.00
8/19/2020,134935.18,122651.28,108272.40,87500.00
8/18/2020,135499.37,122772.23,108272.40,87500.00
8/17/2020,135207.27,122651.28,108272.40,87500.00
8/14/2020,134779.13,122288.39,108272.40,87500.00
8/13/2020,134775.12,122409.36,108272.40,87500.00
8/12/2020,135019.21,122530.32,108272.40,87500.00
8/11/2020,133162.61,121683.62,108272.40,87500.00
8/10/2020,134270.97,122167.44,108272.40,87500.00
8/7/2020,133870.84,122046.49,108272.40,87500.00
8/6/2020,133774.80,122046.49,108272.40,87500.00
8/5/2020,132886.52,121562.66,108272.40,87500.00
8/4/2020,132066.26,121199.79,108272.40,87500.00
8/3/2020,131558.10,121078.82,108272.40,87500.00
7/31/2020,130649.80,120474.03,108272.40,87500.00
7/30/2020,129625.48,120232.11,108272.40,87500.00
7/29/2020,130089.63,120232.11,108272.40,87500.00
7/28/2020,128509.13,119506.38,108272.40,87500.00
7/27/2020,129329.39,119869.24,108272.40,87500.00
7/24/2020,128393.09,119385.42,108272.40,87500.00
7/23/2020,129225.35,119869.24,108272.40,87500.00
7/22/2020,130785.85,120594.99,108272.40,87500.00
7/21/2020,130045.62,120232.11,108272.40,87500.00
7/20/2020,129769.53,120111.16,108272.40,87500.00
7/17/2020,128729.19,119627.33,108272.40,87500.00
7/16/2020,128357.08,119506.38,108272.40,87500.00
7/15/2020,128781.21,119748.28,108272.40,87500.00
7/14/2020,127608.84,119022.54,108272.40,87500.00
7/13/2020,125976.31,119022.54,108272.40,87500.00
7/10/2020,127076.66,119143.50,108272.40,87500.00
7/9/2020,125792.26,118538.70,108272.40,87500.00
7/8/2020,126512.48,118659.66,108272.40,87500.00
7/7/2020,125552.18,118538.70,108272.40,87500.00
7/6/2020,126860.59,118780.61,108272.40,87500.00
7/2/2020,124931.98,118054.88,108272.40,87500.00
7/1/2020,124247.76,117812.96,108272.40,87500.00
6/30/2020,123383.48,117329.12,108272.40,87500.00
6/29/2020,121822.98,116724.34,108272.40,87500.00
6/26/2020,120058.41,116361.46,108272.40,87500.00
6/25/2020,122979.36,117087.22,108272.40,87500.00
6/24/2020,121674.94,117208.17,108272.40,87500.00
6/23/2020,124859.95,118296.79,108272.40,87500.00
6/22/2020,124287.77,117933.92,108272.40,87500.00
6/19/2020,123495.53,117812.96,108272.40,87500.00
6/18/2020,124751.92,118054.88,108272.40,87500.00
6/17/2020,124703.91,118175.84,108272.40,87500.00
6/16/2020,125224.07,118054.88,108272.40,87500.00
6/15/2020,122859.31,117087.22,108272.40,87500.00
6/12/2020,121722.95,116724.34,108272.40,87500.00
6/11/2020,120282.49,116724.34,108272.40,87500.00
6/10/2020,127640.85,119022.54,108272.40,87500.00
6/9/2020,128357.08,119506.38,108272.40,87500.00
6/8/2020,129321.39,119506.38,108272.40,87500.00
6/5/2020,127776.89,118901.57,108272.40,87500.00
6/4/2020,124583.86,117450.08,108272.40,87500.00
6/3/2020,124911.97,117571.05,108272.40,87500.00
6/2/2020,123271.44,116845.30,108272.40,87500.00
6/1/2020,122259.12,116482.43,108272.40,87500.00
5/29/2020,121766.97,116361.46,108272.40,87500.00
5/28/2020,121226.79,116361.46,108272.40,87500.00
5/27/2020,121450.86,116119.55,108272.40,87500.00
5/26/2020,119670.29,115393.80,108272.40,87500.00
5/22/2020,118213.83,114789.02,108272.40,87500.00
5/21/2020,117989.76,114668.06,108272.40,87500.00
5/20/2020,118810.02,114909.97,108272.40,87500.00
5/19/2020,116825.39,114184.21,108272.40,87500.00
5/18/2020,118037.77,114426.15,108272.40,87500.00
5/15/2020,114548.66,113216.56,108272.40,87500.00
5/14/2020,114024.49,113458.48,108272.40,87500.00
5/13/2020,112676.06,112853.69,108272.40,87500.00
5/12/2020,114704.71,113458.48,108272.40,87500.00
5/11/2020,117037.45,114063.26,108272.40,87500.00
5/8/2020,117013.45,114184.21,108272.40,87500.00
5/7/2020,115108.83,113700.38,108272.40,87500.00
5/6/2020,113736.40,113216.56,108272.40,87500.00
5/5/2020,114512.65,113821.34,108272.40,87500.00
5/4/2020,113464.31,113095.61,108272.40,87500.00
5/1/2020,113152.21,113216.56,108272.40,87500.00
4/30/2020,116229.20,114184.21,108272.40,87500.00
4/29/2020,117321.54,114547.11,108272.40,87500.00
4/28/2020,114328.59,113579.44,108272.40,87500.00
4/27/2020,114856.75,113458.48,108272.40,87500.00
4/24/2020,113224.23,113095.61,108272.40,87500.00
4/23/2020,111667.73,113216.56,108272.40,87500.00
4/22/2020,111675.74,113095.61,108272.40,87500.00
4/21/2020,109250.96,112732.72,108272.40,87500.00
4/20/2020,112672.05,113700.38,108272.40,87500.00
4/17/2020,114692.71,113942.30,108272.40,87500.00
4/16/2020,111675.74,112611.77,108272.40,87500.00
4/15/2020,111139.57,112611.77,108272.40,87500.00
4/14/2020,113552.34,112974.65,108272.40,87500.00
4/13/2020,110299.30,111886.03,108272.40,87500.00
4/9/2020,111315.63,112490.81,108272.40,87500.00
4/8/2020,109647.09,111281.23,108272.40,87500.00
4/7/2020,106085.95,110071.66,108272.40,87500.00
4/6/2020,105977.91,109345.90,108272.40,87500.00
4/3/2020,99307.78,108257.29,108272.40,87500.00
4/2/2020,100764.25,108620.16,108272.40,87500.00
4/1/2020,98491.52,108378.25,108272.40,87500.00
3/31/2020,103133.00,109345.90,108272.40,87500.00
3/30/2020,104693.50,109224.94,108272.40,87500.00
3/27/2020,101400.45,108499.21,108272.40,87500.00
3/26/2020,104513.45,107894.41,108272.40,87500.00
3/25/2020,98747.60,106926.75,108272.40,87500.00
3/24/2020,97291.13,105838.13,108272.40,87500.00
3/23/2020,89208.55,104507.59,108272.40,87500.00
3/20/2020,91549.30,105112.39,108272.40,87500.00
3/19/2020,96234.79,106321.96,108272.40,87500.00
3/18/2020,96030.73,107289.63,108272.40,87500.00
3/17/2020,101152.37,108620.16,108272.40,87500.00
3/16/2020,95970.71,109587.84,108272.40,87500.00
3/13/2020,107762.49,108136.33,108272.40,87500.00
3/12/2020,99275.77,110313.57,108272.40,87500.00
3/11/2020,109779.12,112732.72,108272.40,87500.00
3/10/2020,115404.94,113821.34,108272.40,87500.00
3/9/2020,109727.12,113821.34,108272.40,87500.00
3/6/2020,119022.08,116119.55,108272.40,87500.00
3/5/2020,121022.72,117208.17,108272.40,87500.00
3/4/2020,125184.05,118175.84,108272.40,87500.00
3/3/2020,120134.44,116361.46,108272.40,87500.00
3/2/2020,123675.58,116845.30,108272.40,87500.00
2/28/2020,118541.94,115272.84,108272.40,87500.00
2/27/2020,119042.10,115998.59,108272.40,87500.00
2/26/2020,124639.89,117933.92,108272.40,87500.00
2/25/2020,125100.03,118175.84,108272.40,87500.00
2/24/2020,129009.29,120474.03,108272.40,87500.00
2/21/2020,133434.70,122772.23,108272.40,87500.00
2/20/2020,134823.15,123377.01,108272.40,87500.00
