Date,Currencies,Gold,Commodities,US Real Estate,Foreign Bonds,US Bonds,Foreign Stocks,US Stocks
3/29/2018,0.00,21.47,48.48,0.00,0.00,17.04,6.01,7.00
4/11/2018,0.00,24.42,45.13,1.15,0.00,16.03,11.54,1.73
4/18/2018,0.00,24.55,41.50,0.00,0.00,16.54,17.41,0.00
4/25/2018,0.00,24.20,36.37,0.00,0.00,13.67,25.76,0.00
5/2/2018,0.00,16.60,39.97,0.00,0.00,12.44,30.99,0.00
5/9/2018,0.00,11.65,41.05,0.00,0.00,13.32,33.97,0.00
5/23/2018,0.00,2.98,43.17,0.00,0.00,14.04,39.81,0.00
5/29/2018,0.00,3.43,34.76,0.00,0.00,16.09,38.16,7.56
5/31/2018,0.00,2.70,29.52,0.00,0.00,19.11,36.47,12.20
6/4/2018,0.00,2.29,23.04,1.27,0.00,20.48,35.68,17.24
6/6/2018,0.00,1.99,20.05,2.11,0.00,20.14,36.64,19.07
6/7/2018,0.00,1.96,20.27,2.04,0.00,19.67,34.80,21.26
6/11/2018,0.00,1.81,18.20,2.44,0.00,19.51,34.78,23.25
6/12/2018,0.00,1.82,16.80,2.55,0.00,18.89,37.64,22.30
6/14/2018,0.00,1.82,16.50,2.27,0.00,18.83,33.06,27.52
6/18/2018,0.00,1.48,12.19,2.16,0.00,19.03,34.11,31.04
6/20/2018,0.00,1.14,10.26,2.28,0.00,20.49,27.59,38.24
6/22/2018,0.00,0.00,8.28,3.45,0.00,21.29,26.22,40.76
6/26/2018,0.00,0.00,7.41,6.21,0.00,22.88,21.91,41.60
6/29/2018,0.00,0.00,7.40,11.25,0.00,25.12,15.42,40.81
7/5/2018,0.00,0.00,6.92,14.92,0.00,26.90,9.91,41.36
7/11/2018,0.00,0.00,7.08,17.09,0.00,26.91,5.71,43.20
7/16/2018,0.00,0.00,5.28,18.73,0.00,28.60,4.73,42.66
7/18/2018,0.00,0.00,3.95,18.23,0.00,29.19,4.27,44.36
7/23/2018,0.00,0.00,3.25,17.10,0.00,28.99,3.64,47.02
7/26/2018,0.00,0.00,2.73,15.81,0.00,25.53,5.34,50.59
7/31/2018,0.00,0.00,2.49,13.02,0.00,23.29,8.96,52.24
8/7/2018,0.00,0.00,2.49,14.87,0.00,20.79,11.93,49.91
8/14/2018,0.00,0.00,2.06,13.40,0.00,22.61,10.28,51.65
8/20/2018,0.00,0.00,1.60,16.18,0.00,25.74,6.73,49.75
8/28/2018,0.00,0.00,1.57,17.49,0.00,26.12,4.00,50.82
8/31/2018,0.00,0.00,1.91,20.35,0.00,24.79,2.93,50.03
9/11/2018,0.00,0.00,2.17,19.26,0.00,25.71,0.00,52.85
9/20/2018,0.00,0.00,3.34,19.58,0.00,15.11,1.51,60.47
9/25/2018,0.00,0.00,4.97,17.08,0.00,12.22,2.91,62.82
9/27/2018,0.00,0.00,5.36,13.31,0.00,11.62,4.69,65.02
10/2/2018,0.00,0.00,5.47,9.67,0.00,10.02,7.97,66.86
10/10/2018,0.00,0.00,5.25,7.13,0.00,7.64,8.51,71.47
10/11/2018,0.00,0.00,7.92,7.66,0.00,14.79,12.31,57.31
10/12/2018,0.00,0.00,9.90,6.39,0.00,21.15,12.77,49.80
10/16/2018,0.00,1.26,11.46,5.00,0.00,27.06,15.41,39.82
10/18/2018,0.00,2.26,13.61,5.07,0.00,29.53,16.10,33.44
10/22/2018,0.00,3.03,15.11,8.35,0.00,33.15,13.10,27.26
10/24/2018,0.00,3.62,16.58,9.63,0.00,35.82,12.45,21.90
10/25/2018,0.00,3.24,16.33,12.12,0.00,41.70,8.99,17.61
10/29/2018,0.00,3.02,17.11,12.11,0.00,47.03,7.07,13.66
10/30/2018,0.00,2.76,17.15,14.05,0.00,49.05,5.97,11.02
10/31/2018,0.00,2.66,16.57,16.09,0.00,50.27,5.23,9.18
11/2/2018,0.00,2.96,14.70,17.62,0.00,51.15,4.20,9.37
11/8/2018,0.00,2.89,9.86,22.24,0.00,48.23,6.12,10.66
11/13/2018,0.00,1.92,6.72,24.81,0.00,52.27,3.91,10.37
11/15/2018,0.00,1.52,5.68,25.36,0.00,55.29,2.92,9.23
11/16/2018,0.00,1.27,5.34,25.49,0.00,55.53,3.09,9.28
11/20/2018,0.00,1.01,4.70,25.53,0.00,57.29,2.33,9.13
11/26/2018,0.00,0.00,1.15,23.94,0.00,66.79,1.84,6.29
12/4/2018,0.00,0.00,0.00,24.48,0.00,68.82,2.42,4.28
12/6/2018,0.00,0.00,0.00,21.30,0.00,73.39,1.96,3.34
12/10/2018,0.00,0.00,0.00,17.52,0.00,78.46,1.57,2.45
12/11/2018,0.00,0.00,0.00,15.74,0.00,80.67,1.39,2.20
12/12/2018,0.00,0.00,0.00,14.50,0.00,82.35,1.20,1.94
12/13/2018,0.00,0.00,0.00,12.61,0.00,84.42,1.29,1.68
12/17/2018,0.00,0.00,0.00,10.75,0.00,86.83,1.12,1.30
12/18/2018,0.00,0.00,0.00,8.65,0.00,90.10,0.00,1.25
12/19/2018,0.00,0.00,0.00,7.42,0.00,91.44,0.00,1.14
12/21/2018,0.00,0.00,0.00,5.45,0.00,93.48,0.00,1.06
1/2/2019,0.00,0.00,0.00,2.23,0.00,97.77,0.00,0.00
1/23/2019,0.00,3.38,1.39,4.29,0.00,89.83,1.11,0.00
1/31/2019,0.00,5.37,1.24,7.70,0.00,84.61,0.00,1.08
2/11/2019,0.00,7.40,0.00,9.53,0.00,80.55,1.35,1.16
2/19/2019,0.00,8.30,0.00,12.11,0.00,76.30,1.22,2.07
2/28/2019,0.00,6.18,0.00,14.19,0.00,74.15,2.86,2.62
3/4/2019,0.00,4.98,0.00,16.70,0.00,71.91,2.73,3.69
3/6/2019,0.00,3.70,0.00,18.80,0.00,70.76,2.79,3.96
3/14/2019,0.00,1.87,0.00,21.34,0.00,70.26,2.64,3.88
3/18/2019,0.00,1.33,0.00,23.28,0.00,68.98,2.38,4.03
3/29/2019,0.00,0.00,0.00,22.37,0.00,71.90,1.75,3.97
4/3/2019,0.00,0.00,0.00,25.35,0.00,68.31,1.69,4.65
4/4/2019,0.00,0.00,0.00,27.37,0.00,65.62,1.74,5.26
4/8/2019,0.00,0.00,0.00,29.83,0.00,62.31,1.68,6.17
4/12/2019,0.00,0.00,0.00,31.67,0.00,57.56,3.62,7.15
4/15/2019,0.00,0.00,1.27,33.68,0.00,53.41,4.28,7.37
4/18/2019,0.00,0.00,1.34,26.71,0.00,51.16,11.18,9.61
4/23/2019,0.00,0.00,1.08,21.98,0.00,48.65,17.36,10.93
4/24/2019,0.00,0.00,1.03,20.42,0.00,48.67,14.94,14.94
4/29/2019,0.00,0.00,0.00,17.18,0.00,48.74,16.22,17.86
5/1/2019,0.00,0.00,0.00,14.61,0.00,47.54,18.48,19.37
5/8/2019,0.00,0.00,0.00,11.02,0.00,55.99,16.12,16.87
5/13/2019,0.00,0.00,0.00,10.30,0.00,61.75,12.59,15.36
5/14/2019,0.00,0.00,0.00,9.65,0.00,65.99,12.75,11.60
5/16/2019,0.00,0.00,0.00,10.35,0.00,69.19,10.50,9.96
5/21/2019,0.00,0.00,1.08,9.82,0.00,70.42,11.07,7.61
5/24/2019,0.00,0.00,1.16,9.03,0.00,73.72,10.74,5.35
5/30/2019,0.00,0.00,1.33,8.74,0.00,76.48,10.35,3.10
6/25/2019,0.00,1.92,0.00,9.26,0.00,76.95,6.35,5.52
6/28/2019,0.00,2.89,0.00,6.13,0.00,79.19,6.02,5.77
7/11/2019,0.00,3.83,0.00,5.72,0.00,71.02,8.16,11.28
7/15/2019,0.00,4.55,0.00,5.37,0.00,65.61,10.17,14.30
7/19/2019,30.94,0.17,2.17,2.81,26.44,22.18,14.32,0.97
8/1/2019,30.55,0.25,2.22,2.05,27.50,21.90,13.81,1.73
8/9/2019,30.81,0.18,1.18,2.17,29.37,22.37,12.18,1.74
8/15/2019,30.30,0.14,0.98,2.57,32.16,19.37,12.75,1.71
8/21/2019,30.68,0.19,1.06,2.74,33.19,17.31,12.82,2.01
8/29/2019,31.75,0.21,1.15,3.11,34.23,15.48,12.90,1.17
9/6/2019,35.73,0.17,1.16,3.46,33.21,11.01,14.13,1.12
9/13/2019,38.69,0.19,1.34,4.03,30.67,7.10,16.31,1.67
9/23/2019,36.79,0.19,1.09,4.08,27.66,10.97,17.53,1.69
10/7/2019,33.21,0.32,0.97,3.08,27.77,14.85,16.82,2.98
10/21/2019,31.49,0.56,0.00,3.32,29.15,18.16,14.52,2.79
10/29/2019,29.34,0.21,0.00,3.22,28.50,20.82,15.06,2.84
11/13/2019,27.54,0.00,0.00,3.09,29.23,19.62,17.49,3.03
11/29/2019,28.82,0.26,1.71,2.64,25.80,20.40,18.08,2.28
12/10/2019,28.87,0.42,1.60,2.70,24.23,21.01,17.82,3.35
12/23/2019,31.54,0.61,1.35,2.84,23.82,20.84,16.50,2.50
12/30/2019,31.96,0.88,1.48,3.39,23.47,18.45,17.73,2.64
1/10/2020,30.48,0.50,1.58,3.28,23.38,17.87,19.30,3.60
2/6/2020,27.47,0.00,1.65,3.40,23.65,19.44,20.47,3.92
2/19/2020,21.25,0.00,1.85,4.10,25.38,20.70,21.27,5.46
2/26/2020,21.56,0.00,2.12,3.93,26.76,19.25,21.09,5.28
2/27/2020,22.65,0.00,2.08,3.96,27.16,18.07,21.02,5.07
2/28/2020,23.32,0.00,2.13,3.77,27.60,17.59,20.67,4.91
3/6/2020,27.15,0.00,1.85,3.39,27.34,16.89,18.89,4.49
3/10/2020,27.54,0.00,1.45,3.09,27.78,17.96,17.83,4.35
3/11/2020,28.53,0.07,1.30,3.03,26.89,17.61,18.00,4.57
3/12/2020,28.91,2.61,0.13,2.10,27.51,20.84,12.66,5.24
3/13/2020,28.99,2.87,0.20,1.91,28.77,20.32,11.96,4.97
3/16/2020,28.84,2.80,0.16,1.58,28.74,21.73,10.96,5.18
3/17/2020,27.81,2.73,0.00,1.14,30.09,23.23,9.94,5.06
3/18/2020,25.75,3.33,0.00,0.00,30.63,25.79,9.26,5.23
3/19/2020,25.03,3.40,0.78,0.00,30.52,26.73,8.53,5.01
3/20/2020,26.40,3.44,0.85,0.00,29.59,27.36,7.42,4.93
3/23/2020,27.93,3.13,1.36,0.00,29.13,27.13,6.80,4.51
3/24/2020,28.00,2.63,0.74,0.00,30.06,28.03,6.26,4.29
3/25/2020,27.15,3.10,1.19,0.00,30.01,27.67,6.43,4.46
3/26/2020,27.34,3.31,1.25,0.00,29.79,27.85,5.97,4.50
3/27/2020,26.80,3.18,0.73,0.00,31.72,27.34,5.33,4.90
3/30/2020,36.96,2.91,0.00,0.00,25.93,28.71,2.40,3.08
3/31/2020,36.42,2.69,0.00,0.00,26.57,28.80,2.19,3.33
4/1/2020,35.68,2.55,0.00,0.00,27.90,28.57,2.09,3.21
4/2/2020,34.71,2.51,0.00,0.00,29.26,28.53,1.84,3.15
4/3/2020,33.40,2.30,0.24,0.00,30.58,28.81,1.65,3.02
4/6/2020,32.63,2.35,0.46,0.00,31.47,28.92,1.10,3.07
4/7/2020,31.25,2.66,0.93,0.00,31.78,29.36,0.66,3.37
4/8/2020,30.49,2.39,0.97,0.00,32.44,29.58,0.68,3.45
4/9/2020,30.31,2.33,1.08,0.00,32.46,29.86,0.42,3.54
4/13/2020,29.76,2.39,1.10,0.00,32.90,30.03,0.33,3.48
4/14/2020,28.99,2.46,1.24,0.00,33.62,30.16,0.00,3.53
4/15/2020,28.71,2.26,1.16,0.00,34.29,30.18,0.00,3.40
4/16/2020,28.71,2.17,0.89,0.00,35.11,29.78,0.00,3.33
4/17/2020,29.08,2.11,0.81,0.00,35.37,29.50,0.00,3.14
4/20/2020,29.35,1.83,0.67,0.00,35.60,29.41,0.00,3.13
4/21/2020,29.26,1.60,0.89,0.00,35.77,29.49,0.00,2.98
4/22/2020,28.55,1.50,1.09,0.00,36.28,29.84,0.00,2.74
4/23/2020,27.75,1.29,1.17,0.00,36.67,30.38,0.00,2.74
4/24/2020,27.24,1.25,1.22,0.00,36.84,30.78,0.00,2.67
4/27/2020,26.89,1.22,1.26,0.00,36.88,31.09,0.00,2.66
4/28/2020,25.98,1.14,0.77,0.00,37.74,31.60,0.00,2.77
4/29/2020,25.55,1.05,0.43,0.00,38.31,31.70,0.00,2.97
4/30/2020,25.24,0.94,0.30,0.00,38.59,31.88,0.00,3.05
5/1/2020,26.85,0.93,0.06,0.00,37.52,31.56,0.00,3.08
5/4/2020,26.36,0.57,0.00,0.00,38.06,31.78,0.00,3.24
5/5/2020,27.00,0.46,0.00,0.00,37.85,31.46,0.00,3.24
5/6/2020,27.36,0.48,0.00,0.00,37.59,31.35,0.00,3.22
5/7/2020,28.73,0.40,0.00,0.00,36.90,30.69,0.00,3.27
5/8/2020,29.29,0.45,0.00,0.00,36.41,30.53,0.00,3.32
5/11/2020,29.70,0.52,0.00,0.00,35.91,30.36,0.00,3.51
5/12/2020,29.39,0.41,0.00,0.00,36.10,30.63,0.00,3.46
5/13/2020,29.43,0.27,0.00,0.00,35.99,30.72,0.00,3.59
5/14/2020,29.62,0.15,0.00,0.00,36.44,30.38,0.00,3.41
5/15/2020,30.34,0.13,0.00,0.00,36.23,29.96,0.00,3.33
5/18/2020,31.25,0.04,0.00,0.00,35.78,29.54,0.00,3.39
5/19/2020,31.75,0.04,0.00,0.00,35.44,29.31,0.00,3.47
5/20/2020,31.67,0.00,0.00,0.00,35.36,29.46,0.00,3.51
5/21/2020,31.73,0.08,0.00,0.00,35.17,29.49,0.00,3.53
5/22/2020,31.47,0.04,0.00,0.00,35.22,29.57,0.00,3.71
5/26/2020,31.27,0.09,0.00,0.00,34.80,29.90,0.00,3.94
5/27/2020,31.11,0.00,0.00,0.00,34.57,29.99,0.00,4.33
5/28/2020,30.99,0.00,0.00,0.00,33.95,30.52,0.00,4.55
5/29/2020,30.53,0.00,0.00,0.00,33.99,30.81,0.00,4.67
6/1/2020,30.29,0.00,0.00,0.00,33.99,30.93,0.00,4.78
6/2/2020,29.55,0.00,0.00,0.00,34.14,31.26,0.00,5.04
6/3/2020,27.78,0.00,0.00,0.00,34.46,32.07,0.00,5.69
6/4/2020,25.56,0.00,0.00,0.00,34.78,33.28,0.12,6.27
6/5/2020,25.18,0.00,0.00,0.00,34.10,33.97,0.15,6.61
6/8/2020,26.50,0.00,0.00,0.00,32.32,34.12,0.30,6.76
6/9/2020,26.72,0.00,0.00,0.00,31.74,34.20,0.41,6.92
6/10/2020,26.80,0.00,0.00,0.00,31.02,34.50,0.59,7.09
6/11/2020,27.36,0.00,0.00,0.00,30.88,33.96,0.53,7.27
6/12/2020,27.56,0.09,0.00,0.00,30.35,34.02,0.51,7.47
6/15/2020,28.01,0.03,0.00,0.00,30.23,33.63,0.52,7.60
6/16/2020,28.14,0.09,0.00,0.00,29.95,33.65,0.48,7.69
6/17/2020,22.40,0.00,0.17,0.00,36.15,30.91,3.06,7.31
6/18/2020,22.68,0.00,0.18,0.00,35.91,30.67,3.16,7.41
6/19/2020,23.33,0.00,0.00,0.00,35.16,30.60,3.43,7.48
6/22/2020,23.65,0.00,0.00,0.00,34.68,30.57,3.70,7.40
6/23/2020,23.79,0.00,0.00,0.00,34.17,30.96,3.94,7.14
6/24/2020,24.09,0.00,0.00,0.00,33.82,30.93,4.33,6.82
6/25/2020,25.05,0.00,0.00,0.00,33.47,30.44,4.41,6.63
6/26/2020,25.33,0.00,0.00,0.00,33.94,29.62,4.66,6.45
6/29/2020,25.71,0.00,0.00,0.00,33.64,29.48,4.87,6.30
6/30/2020,25.13,0.00,0.00,0.00,34.48,29.19,4.90,6.30
