Date,RFXIX,Barclays US Agg,Bloomberg MBS Index
2/1/2009,10000.00,10000.00,10000.00
2/28/2009,9859.11,9962.26,10057.62
3/31/2009,9732.08,10100.74,10200.20
4/30/2009,10234.00,10149.04,10229.21
5/31/2009,10779.25,10222.65,10259.12
6/30/2009,11463.91,10280.79,10271.95
7/31/2009,12074.78,10446.62,10356.00
8/31/2009,12630.93,10554.79,10425.16
9/30/2009,13183.11,10665.66,10508.96
10/31/2009,13969.79,10718.32,10584.05
11/30/2009,13846.48,10857.09,10719.80
12/31/2009,14702.98,10687.38,10568.90
1/31/2010,15369.32,10850.64,10709.10
2/28/2010,15493.62,10891.16,10728.11
3/31/2010,15694.69,10877.77,10731.66
4/30/2010,16612.36,10991.00,10796.31
5/31/2010,15743.72,11083.49,10917.23
6/30/2010,16401.88,11257.29,11039.76
7/31/2010,16700.26,11377.40,11134.45
8/31/2010,17346.79,11523.79,11151.53
9/30/2010,17748.67,11536.08,11109.06
10/31/2010,17738.27,11577.15,11217.86
11/30/2010,18240.93,11510.61,11197.68
12/31/2010,18634.39,11386.49,11136.13
1/31/2011,19803.64,11399.74,11141.86
2/28/2011,19692.71,11428.25,11169.84
3/31/2011,19718.46,11434.57,11200.97
4/30/2011,19808.34,11579.72,11323.89
5/31/2011,19719.20,11730.83,11445.52
6/30/2011,19445.83,11696.49,11456.22
7/31/2011,19593.41,11882.09,11562.71
8/31/2011,19184.35,12055.69,11706.71
9/30/2011,18818.37,12143.39,11726.69
10/31/2011,18458.83,12156.43,11726.37
11/30/2011,18362.02,12145.89,11747.70
12/31/2011,19320.29,12279.38,11830.08
1/31/2012,19720.19,12387.20,11878.29
2/29/2012,20098.06,12384.36,11889.25
3/31/2012,20806.98,12316.50,11896.98
4/30/2012,20807.23,12453.04,11974.14
5/31/2012,20884.73,12565.72,12012.04
6/30/2012,21055.84,12570.65,12025.96
7/31/2012,22013.87,12744.04,12122.59
8/31/2012,22233.01,12752.36,12136.25
9/30/2012,23212.33,12769.92,12161.45
10/31/2012,23455.24,12795.03,12141.08
11/30/2012,24135.94,12815.23,12120.20
12/31/2012,25521.85,12796.98,12136.77
1/31/2013,27756.84,12707.47,12076.05
2/28/2013,28436.80,12771.17,12116.98
3/31/2013,28727.25,12781.37,12131.09
4/30/2013,29152.66,12910.70,12195.62
5/31/2013,29885.35,12680.34,12008.62
6/30/2013,28999.38,12484.20,11893.12
7/31/2013,28841.40,12501.27,11882.42
8/31/2013,28959.02,12437.36,11848.45
9/30/2013,29383.43,12555.11,12015.26
10/31/2013,29960.88,12656.62,12097.12
11/30/2013,30215.92,12609.23,12021.84
12/31/2013,30363.25,12537.97,11965.12
1/31/2014,31097.19,12723.22,12152.17
2/28/2014,31276.22,12790.87,12194.00
3/31/2014,31311.13,12769.09,12154.75
4/30/2014,31542.40,12876.84,12267.16
5/31/2014,31939.09,13023.44,12414.77
6/30/2014,32156.00,13030.17,12447.32
7/31/2014,32322.40,12997.50,12374.29
8/31/2014,32508.11,13140.98,12490.19
9/30/2014,32595.02,13051.75,12470.01
10/31/2014,32610.62,13180.04,12590.74
11/30/2014,33231.65,13273.57,12673.18
12/31/2014,33466.88,13285.99,12692.78
1/31/2015,33461.68,13564.56,12800.48
2/28/2015,33748.17,13437.04,12779.66
3/31/2015,33943.05,13499.41,12826.98
4/30/2015,33976.72,13450.98,12832.33
5/31/2015,34048.29,13418.58,12829.36
6/30/2015,34264.70,13272.25,12731.52
7/31/2015,34411.04,13364.53,12811.76
8/31/2015,34416.49,13345.31,12822.59
9/30/2015,34479.88,13435.58,12897.56
10/31/2015,34642.57,13437.87,12906.07
11/30/2015,34741.36,13402.35,12888.53
12/31/2015,34762.66,13359.05,12884.34
1/31/2016,34599.98,13542.85,13051.55
2/29/2016,34330.57,13638.94,13100.28
3/31/2016,34411.54,13764.04,13139.02
4/30/2016,34572.24,13816.91,13160.29
5/31/2016,34642.57,13820.45,13177.30
6/30/2016,34746.07,14068.77,13284.37
7/31/2016,34897.86,14157.72,13311.57
8/31/2016,35008.79,14141.56,13326.91
9/30/2016,35792.25,14133.23,13363.59
10/31/2016,35947.26,14025.13,13328.46
11/30/2016,36105.48,13693.41,13100.15
12/31/2016,36181.26,13712.70,13099.95
1/31/2017,36414.51,13739.62,13095.51
2/28/2017,36666.34,13831.97,13158.16
3/31/2017,37174.20,13824.68,13161.90
4/30/2017,38411.54,13931.39,13247.76
5/31/2017,38799.06,14038.59,13330.00
6/30/2017,39206.14,14024.51,13276.44
7/31/2017,39409.43,14084.87,13336.45
8/31/2017,40016.10,14211.15,13433.91
9/30/2017,40289.71,14143.50,13403.81
10/31/2017,40810.70,14151.69,13399.62
11/30/2017,41302.96,14133.51,13380.28
12/31/2017,41951.96,14198.38,13423.98
1/31/2018,43048.16,14034.84,13266.64
2/28/2018,43612.48,13901.84,13179.62
3/31/2018,44325.12,13990.99,13263.81
4/30/2018,44485.08,13886.92,13197.16
5/31/2018,44732.45,13986.00,13289.39
6/30/2018,44961.00,13968.79,13295.84
7/31/2018,46247.37,13972.12,13281.79
8/31/2018,46507.12,14062.04,13362.23
9/30/2018,46649.50,13971.50,13280.18
10/31/2018,47050.64,13861.11,13196.45
11/30/2018,46931.53,13943.81,13315.37
12/31/2018,46684.16,14199.98,13556.83
1/31/2019,46958.03,14350.82,13664.28
2/28/2019,47225.45,14342.49,13651.90
3/31/2019,47501.55,14617.87,13850.63
4/30/2019,48074.53,14621.62,13842.44
5/31/2019,49243.04,14881.18,14021.37
6/30/2019,49439.89,15068.03,14122.25
7/31/2019,49473.81,15101.20,14179.29
8/31/2019,49614.10,15492.52,14305.89
9/30/2019,49624.05,15410.02,14316.01
10/31/2019,49976.00,15456.44,14366.54
11/30/2019,50244.00,15448.53,14378.15
12/31/2019,50470.00,15437.77,14417.98
1/31/2020,51791.00,15734.87,14518.73
2/29/2020,52008.00,16018.10,14669.24
3/31/2020,46934.00,15923.80,14824.45
4/30/2020,48254.00,16206.89,14918.56
5/31/2020,49506.00,16282.31,14936.80
6/30/2020,50151.00,16384.92,14923.13
7/31/2020,50620.00,16629.64,14949.76
8/31/2020,50806.00,16495.38,14955.62
9/30/2020,51044.00,16486.36,14939.64
10/31/2020,51310.00,16412.75,14933.64
11/30/2020,51657.00,16573.79,14944.08
12/31/2020,51899.00,16596.61,14976.25
1/31/2021,52381.00,16477.62,14987.79
2/28/2021,52813.00,16239.71,14887.68
3/31/2021,52741.00,16036.90,14811.49
